nim,final_ipk,avg_ipk,max_ipk,min_ipk,ipk_stability,ipk_trend,performance_consistency,study_duration_years,on_time_graduation,total_achievements,akademik_achievements,non_akademik_achievements,lokal_achievements,regional_achievements,nasional_achievements,internasional_achievements,achievement_diversity_score,recent_achievements,achievement_frequency,international_recognition,publication_count,competition_wins,total_organizations,leadership_positions,member_positions,leadership_diversity,total_org_duration,avg_org_duration,academic_orgs,social_orgs,religious_orgs,sports_orgs,arts_orgs,technology_orgs,volunteer_orgs,org_type_diversity,inter_org_collaboration,current_active_orgs,academic_performance_score,achievement_score,organizational_involvement_score,composite_score,label,criteria_count,high_performer
105641106120,3.89,3.8357142857142854,3.89,3.75,0.9476386857668736,0.02571428571428562,0.9855947265506043,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,1,8,8.0,0,0,0,0,0,1,0,1,0,0,0.9703630343014906,0.0,0.6000000000000001,0.5381452137205963,1,2,0
105651103921,3.98,3.9675000000000002,3.98,3.95,0.9917766226669198,0.00214285714285691,0.9979101293066444,3.0,1,3,1,2,2,1,0,0,4,3,0.75,0,1,2,1,0,1,0,1,1.0,0,0,0,0,1,0,0,1,0,1,0.9947472725143617,0.7866666666666666,0.1,0.698232242339078,1,2,0
105651104320,3.9,3.86,3.9,3.82,0.9724937237315234,0.013214285714285751,0.9926724685887405,3.0,1,1,1,0,0,1,0,0,2,1,0.25,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9780695456908856,0.5399999999999999,0.0,0.5802278182763542,0,1,0
105651109921,3.97,3.9571428571428577,3.97,3.93,0.9873836741978295,0.004642857142857247,0.9967710209711195,3.0,1,1,0,1,0,1,0,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9921793879736345,0.5399999999999999,0.0,0.5858717551894538,0,1,0
105721102119,3.59,3.442,3.59,2.89,0.8194646627895146,0.061454545454545394,0.9359939354783158,4.0,1,1,1,0,0,0,1,0,2,1,0.25,0,1,0,2,0,2,0,8,4.0,0,1,0,0,1,0,0,2,1,0,0.8904848533823089,0.62,0.3,0.6481939413529235,1,3,1
105721121819,3.67,3.6475,3.78,3.58,0.9445693878579081,0.0,0.9839113165259692,3.0,1,1,1,0,1,0,0,0,2,1,0.25,0,1,0,1,0,1,0,8,8.0,0,0,1,0,0,0,0,1,0,0,0.9338708163573725,0.45999999999999996,0.35,0.622048326542949,0,1,0
105721124321,3.86,3.8825,3.95,3.84,0.9633941899778539,0.0,0.9902133392443202,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,5,5.0,0,0,0,1,0,0,0,1,0,1,0.9680182569933561,0.0,0.3,0.46220730279734246,0,1,0
105721128920,3.92,3.915,3.92,3.91,0.9950248756218907,0.001666666666666486,0.9987228607918264,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9866741293532338,0.0,0.0,0.39466965174129354,0,1,0
105721144418,3.68,3.716,3.83,3.65,0.9402097558704013,0.0,0.9828868535031382,4.0,1,3,1,2,1,1,0,1,5,3,0.75,1,1,2,2,0,2,0,4,2.0,0,0,0,0,0,1,1,2,1,0,0.9340629267611203,0.8666666666666667,0.2,0.7269585040377815,1,3,1
105731105220,3.94,3.95375,4.0,3.93,0.9733709215137715,0.0,0.9930805979676764,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,1,1,1,11,5.5,0,0,0,0,0,1,1,2,1,0,0.9830112764541313,0.0,0.6249999999999999,0.5494545105816525,1,2,0
105731111719,3.91,3.7116666666666664,3.91,3.27,0.8214468187880032,0.11457142857142866,0.9414375586161623,3.0,1,1,1,0,1,0,0,0,2,1,0.25,0,1,0,1,0,1,0,6,6.0,0,1,0,0,0,0,0,1,0,0,0.9443911884935438,0.45999999999999996,0.35,0.6262564753974175,0,1,0
105731122419,3.76,3.8200000000000003,4.0,3.74,0.9089991419492163,0.0,0.9737929189918304,3.0,1,1,1,0,0,1,0,0,2,1,0.25,0,1,0,1,0,1,0,3,3.0,0,0,0,0,0,1,0,1,0,0,0.9366997425847648,0.5399999999999999,0.2,0.613679897033906,0,1,0
105731124818,3.47,3.5688888888888886,3.95,3.41,0.8559046681900286,0.0,0.9528272180232519,4.0,1,4,0,4,2,2,0,0,3,4,1.0,0,0,4,1,1,0,1,7,7.0,0,0,0,0,1,0,0,1,0,0,0.8772714004570085,0.8500000000000001,0.6000000000000001,0.7984085601828034,1,2,0
105741102820,3.87,3.83,3.88,3.65,0.9318416586823114,0.023809523809523475,0.9809024297149768,3.0,1,1,1,0,1,0,0,0,2,1,0.25,0,1,0,1,0,1,0,5,5.0,0,0,0,1,0,0,0,1,0,0,0.9624334499856458,0.45999999999999996,0.3,0.6209733799942583,0,1,0
105831104618,3.45,3.2792857142857152,3.48,2.86,0.8216430425692595,0.04832967032967027,0.9338046297030183,4.0,1,2,0,2,0,1,1,0,3,2,0.5,0,0,2,2,0,2,0,13,6.5,0,0,0,1,0,1,0,2,1,0,0.8688258798037448,0.73,0.4,0.7030303519214979,1,2,0
105841106719,3.35,3.285555555555556,3.55,3.1,0.8790378658274959,0.0,0.9581174570827076,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,1,2,1,18,6.0,0,0,1,0,0,1,1,3,2,0,0.8662113597482487,0.0,0.7000000000000001,0.5214845438992995,0,1,0
105851101121,3.04,3.0837499999999998,3.27,2.99,0.9177901893355136,0.0,0.970953014061862,4.0,1,2,0,2,1,1,0,0,3,2,0.5,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.8313370568006541,0.65,0.0,0.5600348227202616,0,1,0
105261111622,2.93,2.93,2.93,2.93,1.0,0.0,1.0,4.0,1,3,0,3,2,1,0,0,3,3,0.75,0,0,3,3,1,2,1,8,2.6666666666666665,0,1,0,0,1,0,1,3,2,3,0.8395,0.7366666666666667,0.5333333333333333,0.7269666666666666,1,2,0
105331100420,3.93,3.855,3.93,3.7,0.9275555923542945,0.03142857142857121,0.9797399489600346,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9709095348491454,0.0,0.0,0.3883638139396582,0,1,0
105351102818,3.76,3.63,3.79,3.47,0.90337669371918,0.02327272727272738,0.9705350039512486,4.0,1,2,1,1,1,1,0,0,4,2,0.5,0,1,1,1,0,1,0,6,6.0,0,1,0,0,0,0,0,1,0,0,0.9373402808430266,0.7,0.35,0.7074361123372106,1,2,0
105351109119,3.57,3.566363636363637,3.91,3.48,0.8997181826700396,0.0,0.9687471177690663,5.0,0,3,2,1,0,1,2,0,4,3,0.75,0,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.8054154548010118,0.8933333333333333,0.0,0.6348328485870713,1,2,0
105361100219,3.61,3.55875,3.62,3.29,0.906014628121488,0.03154761904761892,0.9708507372909553,3.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9164591503412083,0.45999999999999996,0.0,0.5275836601364834,0,1,0
105361107219,3.75,3.6755555555555555,3.75,3.47,0.9240374621489696,0.024666666666666878,0.9776340733819905,3.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9421779053113576,0.45999999999999996,0.0,0.5378711621245431,0,1,0
105381100120,3.92,3.88,3.92,3.8,0.966518806416322,0.013095238095238269,0.9910719030537687,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,1,7,7.0,0,0,0,1,0,0,0,1,0,0,0.9792651657344205,0.0,0.6000000000000001,0.5417060662937683,1,2,0
105391100920,3.81,3.79,3.82,3.73,0.9742244440001542,0.0011904761904761676,0.9930191258283256,3.0,1,4,2,2,0,2,2,0,4,4,1.0,0,2,2,1,0,1,0,6,6.0,0,0,0,1,0,0,0,1,0,0,0.9638863808190937,0.98,0.35,0.8160545523276376,1,2,0
105391101820,3.87,3.83875,3.87,3.81,0.9801311792311818,0.00773809523809505,0.9947192202083273,3.0,1,3,2,1,0,2,1,0,4,3,0.75,0,2,1,1,0,1,0,2,2.0,1,0,0,0,0,0,0,1,0,0,0.975313163293164,0.8666666666666667,0.15,0.730958598650599,1,2,0
105391101920,3.87,3.8425000000000002,3.87,3.81,0.9782625310814324,0.007857142857142783,0.994217179949697,3.0,1,1,0,1,0,1,0,0,2,1,0.25,0,0,1,1,0,1,0,2,2.0,0,0,1,0,0,0,0,1,0,0,0.974764473610144,0.5399999999999999,0.15,0.6164057894440576,0,1,0
105391102020,3.81,3.7800000000000002,3.91,3.71,0.9437685017421196,0.0,0.9842375988256442,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,0,3,0,20,6.666666666666667,1,0,1,0,1,0,0,3,2,0,0.9546305505226359,0.0,0.45,0.4943522202090544,1,2,0
105401130019,3.94,3.9525,4.0,3.93,0.9799469708643683,0.0,0.9948226737685816,3.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,1,1,0,1,1,1.0,0,0,0,1,0,0,0,1,0,0,0.9849840912593104,0.45999999999999996,0.35,0.6424936365037243,1,2,0
105411100520,3.71,3.729,3.92,3.69,0.9394851924025264,0.0,0.982726540182153,4.0,1,2,0,2,1,0,0,1,3,2,0.5,1,0,2,1,0,1,0,6,6.0,0,1,0,0,0,0,0,1,0,0,0.9383455577207579,0.73,0.35,0.7183382230883032,1,2,0
105711104519,3.91,3.8625000000000003,3.91,3.73,0.9451430167063098,0.022380952380952352,0.984973221014571,3.0,1,3,1,2,1,1,1,0,5,3,0.75,0,1,2,2,1,1,1,7,3.5,0,0,0,1,1,0,0,2,1,0,0.9722810002499882,0.8400000000000001,0.525,0.8141624000999953,1,3,1
105811106917,3.4,3.208181818181818,3.5,3.0,0.8629676966403045,0.0024545454545456314,0.950504074940177,5.0,0,1,0,1,0,1,0,0,2,1,0.25,0,0,1,2,1,1,1,12,6.0,0,0,0,1,0,1,0,2,1,0,0.7691357635375459,0.5399999999999999,0.65,0.6591543054150183,0,1,0
105811116917,2.99,3.0806666666666676,3.27,2.99,0.9142092559737208,0.0,0.9695385823765431,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,1,8,8.0,0,0,0,0,0,1,0,1,0,0,0.8227627767921163,0.0,0.6000000000000001,0.4791051107168466,0,1,0
105951102020,3.86,3.7875,3.86,3.63,0.934774755908063,0.019523809523809246,0.9815771805452768,3.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9613848077247998,0.45999999999999996,0.0,0.54555392308992,0,1,0
105951102920,3.94,3.9533333333333336,3.97,3.93,0.9864426426359946,0.0,0.9965235197085854,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,2,0,12,6.0,0,0,1,0,0,0,1,2,1,0,0.9869327927907984,0.0,0.4,0.4947731171163193,1,2,0
105961106721,3.82,3.8942857142857146,3.95,3.82,0.9512668155447611,0.0,0.9868448854900652,3.0,1,1,1,0,0,1,0,0,2,1,0.25,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9583800446634282,0.5399999999999999,0.0,0.5723520178653713,0,1,0
105961111419,3.78,3.7485714285714287,3.8,3.68,0.9627386655565651,0.0,0.9896751393413536,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9558215996669694,0.0,0.0,0.3823286398667878,0,1,0
105961109820,3.91,3.8942857142857146,4.0,3.83,0.9520307291900914,0.0,0.9870614878293849,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9721092187570274,0.0,0.0,0.38884368750281095,0,1,0
105831102320,3.87,3.882222222222222,3.92,3.85,0.9757571194595452,0.0,0.9936002633729256,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,2,0,11,5.5,0,0,0,1,1,0,0,2,1,0,0.9732271358378636,0.0,0.375,0.48304085433514543,1,2,0
105731105120,3.97,3.98,4.0,3.96,0.9869439586374387,0.0,0.9966761918202707,3.0,1,1,0,1,0,1,0,0,2,1,0.25,0,0,1,2,1,1,1,7,3.5,0,1,0,0,1,0,0,2,1,0,0.9915831875912317,0.5399999999999999,0.525,0.7168832750364926,1,2,0
105651108621,3.94,3.9425,3.97,3.93,0.9881524681090089,0.0,0.9969588893320782,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,5,5.0,0,1,0,0,0,0,0,1,0,0,0.9874457404327026,0.0,0.3,0.46997829617308107,0,1,0
105941102121,3.39,3.402222222222222,3.57,3.34,0.9399328444556606,0.0,0.9812164548079054,4.0,1,1,1,0,0,1,0,0,2,1,0.25,0,1,0,1,0,1,0,2,2.0,0,0,1,0,0,0,0,1,0,0,0.8904798533366981,0.5399999999999999,0.15,0.5826919413346792,0,0,0
105941101621,3.61,3.6242857142857146,3.77,3.56,0.9397516979150147,0.0,0.9823107562693599,3.0,1,2,0,2,0,1,1,0,3,2,0.5,0,0,2,2,0,2,0,13,6.5,1,0,0,0,1,0,0,2,1,2,0.9234255093745044,0.73,0.4,0.7248702037498017,1,3,1
105641104123,3.62,3.675,3.79,3.62,0.9363231419880172,0.0,0.9814945979472988,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,0,3,0,15,5.0,0,0,1,0,1,0,1,3,2,3,0.9238969425964052,0.0,0.4,0.4695587770385621,1,2,0
105731116419,3.98,3.96625,3.98,3.91,0.9771171451903213,0.007976190476190467,0.9940954951165474,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9909327626047153,0.0,0.0,0.39637310504188616,0,1,0
105651106421,3.97,3.9762500000000003,4.0,3.96,0.9879631578502323,0.0,0.9969359338746278,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9918889473550697,0.0,0.0,0.3967555789420279,0,1,0
105721138822,3.99,3.978333333333334,3.99,3.96,0.9894408125857119,0.0060000000000000634,0.9973175013668065,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,6,6.0,0,0,0,0,0,0,1,1,0,1,0.9959322437757137,0.0,0.35,0.4858728975102855,0,1,0
105731104521,3.84,3.84,3.86,3.81,0.9825807058704296,0.0021428571428572943,0.9953833059352712,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,2,1,2,13,4.333333333333333,1,0,0,1,1,0,0,3,2,2,0.9709884974754145,0.0,0.8666666666666667,0.6050620656568325,1,2,0
105831102822,3.89,3.9283333333333332,3.96,3.89,0.9722625757597873,0.0,0.9927376992920561,4.0,1,1,1,0,1,0,0,0,2,1,0.25,0,1,0,3,1,2,1,21,7.0,0,1,1,0,0,0,1,3,2,3,0.9751787727279362,0.45999999999999996,0.7000000000000001,0.7260715090911745,1,2,0
105721116821,3.91,3.8771428571428572,3.92,3.84,0.9726305708959041,0.0021428571428570038,0.9927421829021399,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,2,1,2,23,7.666666666666667,1,0,1,1,0,0,0,3,2,1,0.978503456983057,0.0,0.9500000000000001,0.6289013827932228,1,2,0
105721113221,3.94,3.937142857142857,3.97,3.91,0.9805893645624699,0.0,0.9949722763205547,3.0,1,1,1,0,1,0,0,0,2,1,0.25,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9851768093687409,0.45999999999999996,0.0,0.5550707237474963,0,1,0
105961101922,3.82,3.7916666666666665,3.84,3.72,0.9613783218142816,0.0,0.9894048608411482,4.0,1,1,0,1,0,1,0,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9614134965442844,0.5399999999999999,0.0,0.5735653986177137,0,1,0
105841106522,3.76,3.8250000000000006,3.95,3.76,0.9417556309039425,0.0,0.983830958330911,4.0,1,2,0,2,1,0,1,0,3,2,0.5,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9465266892711827,0.6900000000000001,0.0,0.6201106757084731,1,2,0
105841116522,3.53,3.57,3.75,3.47,0.9114932479494293,0.0,0.9728008876062962,4.0,1,2,1,1,1,0,1,0,4,2,0.5,0,1,1,1,0,1,0,6,6.0,0,0,0,0,0,0,1,1,0,1,0.9029479743848287,0.74,0.35,0.7076791897539315,1,2,0
105941100322,3.82,3.7857142857142856,3.83,3.75,0.9730456358332809,0.0003571428571428778,0.9926827473850319,4.0,1,1,0,1,0,0,1,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9649494050356984,0.62,0.0,0.6029797620142794,1,2,0
105421105620,3.35,3.3085714285714283,3.36,3.26,0.9659733726576789,0.013214285714285649,0.9893533436908999,3.0,1,1,0,1,0,1,0,0,2,1,0.25,0,0,1,2,2,0,2,8,4.0,1,0,1,0,0,0,0,2,1,0,0.8936134403687321,0.5399999999999999,0.7999999999999999,0.7464453761474928,0,1,0
105241101923,3.98,3.9850000000000003,4.0,3.98,0.9914141020198071,0.0,0.9978267869415698,4.0,1,2,0,2,0,1,1,0,3,2,0.5,0,0,2,1,0,1,0,8,8.0,0,1,0,0,0,0,0,1,0,1,0.994424230605942,0.73,0.35,0.7407696922423769,1,2,0
105641106822,3.98,3.983333333333334,3.99,3.97,0.9926015846074788,0.0,0.99812881340795,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,8,8.0,0,1,0,0,0,0,0,1,0,1,0.9947804753822436,0.0,0.35,0.4854121901528975,0,1,0
105651104923,3.93,3.91,3.93,3.87,0.976090757026384,0.020000000000000375,0.9937353203509381,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,1,1,1,10,5.0,0,0,0,1,0,0,1,2,1,2,0.9843272271079152,0.0,0.6,0.5437308908431661,1,2,0
105841109622,3.52,3.6283333333333334,3.93,3.45,0.839631382776232,0.0,0.9473590712367503,4.0,1,2,2,0,0,1,1,0,3,2,0.5,0,2,0,1,0,1,0,7,7.0,0,0,1,0,0,0,0,1,0,1,0.8798894148328696,0.73,0.35,0.6949557659331479,1,2,0
105841116322,3.77,3.791428571428572,3.93,3.7,0.9362212938223802,0.0,0.9820322245402164,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.946366388146714,0.0,0.0,0.37854655525868564,0,1,0
105421103922,3.23,3.233333333333334,3.27,3.2,0.9763079039124802,0.0,0.9924947320729067,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.877392371173744,0.0,0.0,0.35095694846949765,0,0,0
105311101723,3.73,3.845,4.0,3.73,0.9026742954200185,0.0,0.9719585713226946,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9303022886260055,0.0,0.0,0.3721209154504022,0,1,0
105721110023,3.91,3.9475,3.98,3.91,0.9683431746913963,0.0,0.9917183680616707,4.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,1,0,1,0,1,1.0,0,0,0,0,0,1,0,1,0,1,0.9770029524074189,0.45999999999999996,0.1,0.5768011809629675,0,1,0
105651102723,3.91,3.955,3.97,3.91,0.9746771449593142,0.0,0.993430907177362,4.0,1,2,1,1,1,1,0,0,4,2,0.5,0,1,1,1,0,1,0,8,8.0,0,0,0,0,0,1,0,1,0,1,0.9789031434877943,0.7,0.35,0.7240612573951177,1,2,0
105651102822,3.68,3.6566666666666667,3.72,3.57,0.9540260194402524,0.0,0.9868214837786682,4.0,1,2,0,2,1,1,0,0,3,2,0.5,0,0,2,1,0,1,0,4,4.0,0,0,0,0,0,0,1,1,0,1,0.9382078058320757,0.65,0.25,0.6652831223328304,1,2,0
105501108822,3.79,3.7225,3.79,3.56,0.9130502395865459,0.0729999999999998,0.974417734110489,4.0,1,4,3,1,0,3,0,1,4,4,1.0,1,3,1,3,1,2,1,11,3.6666666666666665,1,0,0,1,1,0,0,3,2,3,0.9497150718759637,0.98,0.5833333333333334,0.8687193620837189,1,3,1
105741100322,3.84,3.8466666666666662,3.87,3.82,0.9842654294209208,0.0,0.9958441667908902,4.0,1,4,2,2,3,1,0,0,4,4,1.0,0,2,2,1,0,1,0,8,8.0,0,0,0,0,0,1,0,1,0,1,0.9712796288262762,0.8800000000000001,0.35,0.7840118515305105,1,2,0
105841100322,3.58,3.6866666666666674,3.89,3.58,0.9048583093382113,0.0,0.9714795473859177,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,1,1,1.0,0,0,0,1,0,0,0,1,0,1,0.9084574928014634,0.0,0.35,0.4508829971205853,1,2,0
105751100921,3.98,3.9766666666666666,3.98,3.97,0.995308072749262,0.0022857142857142716,0.9988145737113386,2.0,1,3,0,3,2,0,1,0,3,3,0.75,0,0,3,2,1,1,1,10,5.0,0,0,1,0,0,1,0,2,1,0,0.99582099325335,0.7633333333333333,0.6,0.8154950639680068,1,3,1
105451102121,3.86,3.87,3.91,3.85,0.9816352854160258,0.0,0.9951658173297494,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,7,7.0,1,0,0,0,0,0,0,1,0,1,0.9734905856248076,0.0,0.35,0.4768962342499231,0,1,0
105391100922,3.9,3.9233333333333333,4.0,3.87,0.9559611788537277,0.0,0.9882580501605053,4.0,1,2,2,0,0,1,1,0,3,2,0.5,0,2,0,1,1,0,1,7,7.0,0,0,0,0,0,1,0,1,0,1,0.9717883536561182,0.73,0.6000000000000001,0.7942153414624473,1,3,1
105381101422,3.97,3.9583333333333335,3.98,3.93,0.9845200933585416,0.001428571428571227,0.9960277974180815,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,6,6.0,0,0,0,0,0,1,0,1,0,1,0.9909988851504197,0.0,0.35,0.48389955406016794,0,1,0
105411100620,3.6,3.586,3.67,3.44,0.9461130673268155,0.004848484848484947,0.9841170877123278,4.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9243187686828932,0.0,0.0,0.3697275074731573,0,1,0
