nim,final_ipk,final_sks,avg_ips,stability_score,semester_count,academic_trend,ipk_progression,academic_score,gender,graduation_status,program_code,entry_year,total_prestasi,prestasi_akademik,prestasi_non_akademik,prestasi_individu,international_achievements,national_achievements,regional_achievements,achievement_level_score,achievement_diversity,achievement_score,academic_weighted,achievement_weighted,organizational_weighted,composite_score,berprestasi,academic_excellence,achievement_portfolio,leadership_experience,criteria_met,performance_tier,total_organizations,leadership_positions,leadership_duration_months,org_type_diversity,avg_involvement_duration,current_active_orgs,academic_orgs,social_orgs,professional_orgs,student_government_orgs,religious_orgs,special_interest_orgs,highest_leadership_level,event_organization_experience,inter_org_collaboration,community_impact_projects,organizational_score
105611109820,3.82,144.0,3.53125,0.6381003598719704,8,0,-0.0500000000000002,0.7689301079615911,0,0,63201,2020,1,1,0,1,1,0,0,3,2,0.3399999999999999,0.3075720431846365,0.11899999999999997,0.11291666666666667,0.5394887098513031,1,1,1,0,2,proficient,4,0,0,3,6.0,4,0,2,1,0,0,1,0,8,0.8999999999999999,4,0.45166666666666666
105611110319,3.29,147.0,2.374166666666667,0.4242100984974543,12,1,-0.1,0.7385130295492364,0,0,63201,2019,1,0,1,1,0,0,1,1,2,0.09,0.29540521181969454,0.0315,0.09583333333333334,0.4227385451530279,0,0,0,1,1,developing,2,3,36,2,14.5,2,0,1,0,0,0,1,1,4,0.6,2,0.38333333333333336
105611121619,3.83,147.0,3.5925,0.5928706232857457,8,1,-0.04,0.8566111869857238,1,0,63201,2019,5,4,1,5,3,2,0,13,4,0.63,0.34264447479428956,0.22049999999999997,0.13166666666666665,0.6948111414609561,1,1,1,1,3,exemplary,4,0,0,4,13.75,3,0,1,1,1,0,1,0,8,1.0,3,0.5266666666666666
105641103820,3.86,147.0,3.53625,0.5313777303258507,8,0,-0.04,0.7419133190977552,0,0,65201,2020,1,0,1,1,0,0,1,1,2,0.09,0.29676532763910207,0.0315,0.06729166666666667,0.39555699430576874,0,1,0,0,1,developing,1,0,0,1,11.0,1,0,1,0,0,0,0,0,2,0.3,2,0.26916666666666667
105641106120,3.89,147.0,3.894285714285714,0.912248255419142,7,0,0.1400000000000001,0.8599244766257426,0,0,65201,2020,1,0,1,1,0,0,1,1,2,0.09,0.34396979065029704,0.0315,0.07333333333333333,0.4488031239836304,0,1,0,0,1,developing,2,0,0,2,12.5,2,1,0,0,0,1,0,0,4,0.6,0,0.29333333333333333
105651103921,3.98,145.0,3.8025,0.6853177005738992,8,0,0.0099999999999997,0.8030953101721697,0,0,70201,2021,5,0,5,5,0,3,2,8,3,0.41,0.3212381240688679,0.1435,0.13958333333333334,0.6043214574022013,1,1,1,1,3,exemplary,3,18,360,3,10.666666666666666,2,1,0,0,1,0,1,1,6,0.8999999999999999,1,0.5583333333333333
105651104320,3.9,153.0,3.905714285714285,0.9322489545650592,7,0,0.08,0.8671746863695177,1,0,70201,2020,3,0,3,3,0,1,2,4,3,0.31,0.3468698745478071,0.1085,0.09020833333333333,0.5455782078811404,1,1,1,1,3,exemplary,2,8,88,2,11.0,2,0,0,1,0,0,1,1,4,0.6,0,0.36083333333333334
105651109921,3.97,145.0,3.968571428571429,0.969590191004069,7,0,0.04,0.8871270573012207,0,0,70201,2021,1,1,0,1,0,1,0,2,2,0.19,0.3548508229204883,0.06649999999999999,0.16276041666666666,0.5841112395871549,1,1,0,1,2,proficient,4,14,152,3,10.75,4,1,2,0,0,0,1,1,8,0.8999999999999999,4,0.6510416666666666
105721102119,3.59,155.0,2.818,0.4026846609298828,10,1,1.33,0.7695553982789649,1,0,61201,2019,1,1,0,1,0,0,1,1,2,0.09,0.30782215931158596,0.0315,0.17875000000000002,0.518072159311586,1,1,0,1,2,proficient,6,13,115,5,10.0,5,1,1,1,0,1,2,1,10,1.0,2,0.7150000000000001
105721121819,3.67,155.0,3.71125,0.8456078116590767,8,1,-0.1099999999999998,0.9124323434977232,0,0,61201,2019,1,1,0,1,0,1,0,2,2,0.19,0.3649729373990893,0.06649999999999999,0.15385416666666665,0.5853271040657559,1,1,0,1,2,proficient,4,12,140,3,9.5,3,1,2,1,0,0,0,1,8,0.8999999999999999,4,0.6154166666666666
105721124321,3.86,155.0,3.88,0.8941127383318339,8,0,-0.0700000000000002,0.8507338214995501,1,0,61201,2021,8,8,0,8,2,6,0,18,3,0.6100000000000001,0.3402935285998201,0.21350000000000002,0.07302083333333333,0.6268143619331534,1,1,1,1,3,exemplary,2,2,14,2,5.5,2,1,1,0,0,0,0,1,4,0.6,2,0.2920833333333333
105721128920,3.92,155.0,3.93,0.9598467304515864,8,0,0.0099999999999997,0.8779540191354759,1,0,61201,2020,5,5,0,5,3,0,2,11,3,0.46,0.3511816076541904,0.161,0.18776041666666668,0.6999420243208571,1,1,1,1,3,exemplary,4,30,414,4,10.75,1,1,0,1,1,0,1,2,8,1.0,1,0.7510416666666667
105721144418,3.68,155.0,3.02,0.4178021023763473,10,1,0.0300000000000002,0.7853406307129043,0,0,61201,2018,2,1,1,2,0,0,2,2,3,0.16,0.31413625228516173,0.055999999999999994,0.11119791666666666,0.4813341689518284,1,1,1,1,3,exemplary,4,3,18,2,10.25,4,0,1,0,0,0,3,1,8,0.6,2,0.44479166666666664
105731105220,3.94,154.0,3.9475,0.9355631913190402,8,0,-0.06,0.8731689573957121,1,0,62201,2020,1,1,0,1,1,0,0,3,2,0.3399999999999999,0.34926758295828486,0.11899999999999997,0.05229166666666666,0.5205592496249515,1,1,1,0,2,proficient,1,0,0,1,11.0,1,0,0,1,0,0,0,0,2,0.3,0,0.20916666666666664
105731111719,3.91,154.0,3.856666666666667,0.7903600000371311,6,0,0.6400000000000001,0.8258580000111393,1,0,62201,2019,1,0,1,1,0,0,1,1,2,0.09,0.3303432000044557,0.0315,0.06395833333333333,0.42580153333778903,0,1,0,0,1,developing,2,0,0,2,9.0,1,1,0,0,0,1,0,0,4,0.6,0,0.2558333333333333
105731122419,3.76,154.0,3.676666666666667,0.7775537762984922,9,0,-0.2400000000000002,0.8032661328895476,1,0,62201,2019,1,0,1,1,0,0,1,1,2,0.09,0.32130645315581907,0.0315,0.07333333333333333,0.4261397864891524,0,1,0,0,1,developing,2,0,0,2,12.0,2,0,0,1,0,0,1,0,4,0.6,0,0.29333333333333333
105731124818,3.47,154.0,2.451,0.4519274780329169,10,1,3.47,0.7693282434098752,1,0,62201,2018,2,1,1,2,1,1,0,5,4,0.5299999999999999,0.3077312973639501,0.18549999999999997,0.10124999999999999,0.5944812973639501,1,1,1,1,3,exemplary,3,1,19,2,14.333333333333334,3,0,1,0,0,0,2,1,6,0.6,2,0.40499999999999997
105741102820,3.87,150.0,3.74,0.7004142363882451,8,0,0.2200000000000002,0.7938742709164736,0,0,60202,2020,2,0,2,2,0,1,1,3,3,0.26,0.31754970836658947,0.091,0.05208333333333333,0.46063304169992275,1,1,1,1,3,exemplary,2,2,18,1,6.0,2,0,0,0,0,0,2,1,4,0.3,0,0.20833333333333331
105831104618,3.45,145.0,1.917142857142857,0.4154452861094246,14,0,0.5500000000000003,0.6558835858328274,1,0,23201,2018,1,1,0,1,0,1,0,2,2,0.19,0.26235343433313096,0.06649999999999999,0.033541666666666664,0.36239510099979766,0,0,0,0,0,developing,1,0,0,1,5.0,1,1,0,0,0,0,0,0,2,0.3,0,0.13416666666666666
105841106719,3.35,156.0,3.231111111111111,0.6503657316784208,9,1,-0.1999999999999997,0.8138597195035262,0,0,55202,2019,1,0,1,1,0,1,0,2,2,0.19,0.3255438878014105,0.06649999999999999,0.07583333333333332,0.46787722113474384,0,1,0,0,1,developing,2,0,0,2,8.0,2,1,1,0,0,0,0,0,4,0.6,2,0.3033333333333333
105851101121,3.04,114.0,2.01875,0.4426422399720976,8,-1,-0.1400000000000001,0.5127926719916293,1,0,35201,2021,2,0,2,2,0,0,2,2,2,0.14,0.2051170687966517,0.049,0.0,0.2541170687966517,0,0,1,0,1,developing,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
105261111622,2.93,22.0,0.5860000000000001,0.4604051565377532,5,0,0.0,0.6043715469613259,1,0,74230,2022,1,1,0,1,1,0,0,3,2,0.3399999999999999,0.24174861878453036,0.11899999999999997,0.05145833333333333,0.4122069521178637,0,0,1,0,1,developing,2,0,0,2,5.0,1,1,0,0,0,0,1,0,4,0.6,0,0.2058333333333333
105331100420,3.93,149.0,3.93375,0.9032492406551592,8,0,0.2299999999999999,0.8622247721965478,0,0,88201,2020,3,1,2,3,1,2,0,7,4,0.63,0.34488990887861914,0.22049999999999997,0.07770833333333332,0.6430982422119524,1,1,1,1,3,exemplary,2,0,0,2,11.0,1,1,0,0,1,0,0,0,4,0.6,1,0.3108333333333333
105351102818,3.76,159.0,3.3950000000000005,0.6996508730513631,10,-1,0.0299999999999998,0.6798952619154088,0,0,88203,2018,1,0,1,1,0,0,1,1,2,0.09,0.27195810476616356,0.0315,0.10208333333333333,0.40554143809949683,0,1,0,0,1,developing,3,0,0,3,10.666666666666666,2,0,1,0,0,1,1,0,6,0.8999999999999999,2,0.4083333333333333
105351109119,3.57,159.0,2.870909090909091,0.4572086916524241,11,1,-0.3400000000000003,0.7834126074957273,1,0,88203,2019,1,0,1,1,0,0,1,1,2,0.09,0.31336504299829093,0.0315,0.07020833333333332,0.4150733763316242,0,1,0,0,1,developing,2,0,0,2,11.0,2,0,0,0,0,1,1,0,4,0.6,0,0.28083333333333327
105361100219,3.61,146.0,3.48,0.8027201846010108,8,0,0.3199999999999998,0.7920660553803032,1,0,84202,2019,1,0,1,1,0,1,0,2,2,0.19,0.3168264221521213,0.06649999999999999,0.06239583333333333,0.44572225548545463,0,1,0,0,1,developing,2,0,0,2,8.5,2,1,0,0,0,0,1,0,4,0.6,0,0.24958333333333332
105361107219,3.75,146.0,3.602222222222222,0.7043464029878336,9,1,0.9900000000000002,0.88005392089635,0,0,84202,2019,1,0,1,1,0,1,0,2,2,0.19,0.35202156835854004,0.06649999999999999,0.13833333333333334,0.5568549016918733,1,1,0,1,2,proficient,5,6,72,4,10.8,4,1,0,1,1,0,2,1,10,1.0,1,0.5533333333333333
105381100120,3.92,145.0,3.925,0.93426839214376,8,0,0.1200000000000001,0.870280517643128,0,0,87204,2020,2,0,2,2,0,1,1,3,3,0.26,0.3481122070572512,0.091,0.06791666666666665,0.5070288737239178,1,1,1,1,3,exemplary,1,2,24,1,12.0,0,0,0,0,1,0,0,1,2,0.3,1,0.2716666666666666
105391100920,3.81,159.0,3.83875,0.8777141132184063,8,0,-0.0099999999999997,0.8395642339655219,0,0,84203,2020,1,0,1,1,0,1,0,2,2,0.19,0.3358256935862088,0.06649999999999999,0.04541666666666666,0.44774236025287545,1,1,0,1,2,proficient,1,1,8,1,8.0,1,1,0,0,0,0,0,1,2,0.3,0,0.18166666666666664
105391101820,3.87,159.0,3.88875,0.9162223153503668,8,0,0.0500000000000002,0.85861669460511,0,0,84203,2020,1,0,1,1,0,1,0,2,2,0.19,0.343446677842044,0.06649999999999999,0.12213541666666666,0.5320820945087107,1,1,0,1,2,proficient,4,2,22,4,9.75,2,0,1,1,0,1,1,1,8,1.0,2,0.48854166666666665
105391101920,3.87,159.0,3.7425,0.728232784134257,8,0,0.0500000000000002,0.8022198352402771,1,0,84203,2020,3,3,0,3,0,2,1,5,3,0.36,0.3208879340961108,0.126,0.10338541666666665,0.5502733507627775,1,1,1,1,3,exemplary,4,3,36,3,7.75,2,2,0,1,1,0,0,1,8,0.8999999999999999,1,0.4135416666666666
105391102020,3.81,161.0,3.835,0.8664073963982762,8,0,-0.1,0.8361722189194828,0,0,84203,2020,1,1,0,1,0,1,0,2,2,0.19,0.33446888756779314,0.06649999999999999,0.07552083333333333,0.47648972090112646,1,1,0,1,2,proficient,2,4,56,2,9.5,2,1,0,1,0,0,0,1,4,0.6,0,0.3020833333333333
105401130019,3.94,150.0,3.93875,0.9516086865709096,8,0,-0.06,0.8779826059712729,1,0,86206,2019,17,1,16,17,1,15,1,34,5,0.7000000000000001,0.3511930423885092,0.245,0.10901041666666667,0.7052034590551758,1,1,1,1,3,exemplary,4,1,10,4,8.75,4,1,0,1,1,0,1,1,8,1.0,1,0.43604166666666666
105411100520,3.71,146.0,2.773,0.4361325543078335,10,1,-0.2099999999999999,0.79458976629235,1,0,88210,2020,1,1,0,1,0,1,0,2,2,0.19,0.31783590651694005,0.06649999999999999,0.10125,0.48558590651694006,1,1,0,1,2,proficient,3,7,101,2,13.666666666666666,2,1,0,2,0,0,0,1,6,0.6,0,0.405
105711104519,3.91,158.0,3.92375,0.9214174215096834,8,0,0.1800000000000001,0.865175226452905,0,0,60201,2019,1,0,1,1,1,0,0,3,2,0.3399999999999999,0.346070090581162,0.11899999999999997,0.09354166666666668,0.5586117572478286,1,1,1,1,3,exemplary,3,0,0,2,10.333333333333334,2,0,0,0,2,0,1,0,6,0.6,2,0.3741666666666667
105811106917,3.4,154.0,2.825454545454545,0.6266114329875626,11,1,-0.1,0.8129834298962688,1,0,22202,2017,2,0,2,2,0,2,0,4,2,0.29,0.32519337195850756,0.10149999999999999,0.13645833333333335,0.5631517052918409,1,1,1,1,3,exemplary,5,9,99,4,7.8,4,2,0,0,1,1,1,1,10,1.0,1,0.5458333333333334
105811116917,2.99,102.0,1.154,0.4894745375921159,15,0,0.4400000000000004,0.6205923612776347,1,0,22202,2017,2,1,1,2,1,1,0,5,4,0.5299999999999999,0.2482369445110539,0.18549999999999997,0.0,0.4337369445110539,0,0,1,0,1,developing,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
105951102020,3.86,154.0,3.65625,0.7131912069097668,8,0,0.0499999999999998,0.7964573620729299,1,0,54251,2020,2,0,2,2,0,0,2,2,2,0.14,0.318582944829172,0.049,0.09,0.45758294482917194,1,1,1,1,3,exemplary,3,2,16,3,10.0,3,1,0,1,0,0,1,1,6,0.8999999999999999,0,0.36
105951102920,3.94,157.0,3.583333333333333,0.5718234174142688,6,0,0.06,0.7640470252242806,0,0,54251,2020,2,1,1,2,0,1,1,3,4,0.28,0.30561881008971226,0.098,0.12776041666666665,0.5313792267563788,1,1,1,1,3,exemplary,4,0,0,3,10.75,3,0,1,1,2,0,0,0,8,0.8999999999999999,4,0.5110416666666666
105961106721,3.82,152.0,3.8314285714285714,0.8853933555606882,7,0,-0.1200000000000001,0.8431180066682064,1,0,54201,2021,3,3,0,3,0,1,2,4,3,0.31,0.3372472026672826,0.1085,0.07916666666666666,0.5249138693339492,1,1,1,1,3,exemplary,3,4,40,2,7.333333333333333,3,2,0,1,0,0,0,1,6,0.6,0,0.31666666666666665
105961111419,3.78,151.0,3.701428571428572,0.8001856200676085,7,0,-0.02,0.8125556860202825,1,0,54201,2019,1,1,0,1,0,0,1,1,2,0.09,0.32502227440811304,0.0315,0.07177083333333333,0.42829310774144635,0,1,0,0,1,developing,2,0,0,2,11.5,1,1,0,0,0,0,1,0,4,0.6,0,0.2870833333333333
105961109820,3.91,151.0,3.9057142857142857,0.9022456290322232,7,0,-0.0899999999999998,0.859423688709667,1,0,54201,2020,1,0,1,1,0,0,1,1,2,0.09,0.3437694754838668,0.0315,0.10614583333333333,0.4814153088172001,1,1,0,1,2,proficient,2,15,240,2,10.5,2,1,0,1,0,0,0,1,4,0.6,0,0.4245833333333333
105831102320,3.87,154.0,3.4388888888888887,0.5427907197158711,9,1,-0.0299999999999998,0.8465872159147614,1,0,23201,2020,2,0,2,2,0,1,1,3,3,0.26,0.33863488636590455,0.091,0.06291666666666666,0.4925515530325712,1,1,1,1,3,exemplary,1,0,0,1,13.0,1,0,0,0,1,0,0,0,2,0.3,1,0.25166666666666665
105731105120,3.97,154.0,3.8375,0.7395170087305262,8,0,-0.0299999999999998,0.8181051026191578,0,0,62201,2020,1,1,0,1,0,1,0,2,2,0.19,0.32724204104766313,0.06649999999999999,0.057708333333333334,0.45145037438099644,0,1,0,0,1,developing,2,0,0,2,7.0,1,1,0,0,0,0,1,0,4,0.6,0,0.23083333333333333
105651108621,3.94,145.0,3.71875,0.6239749815966793,8,0,0.0099999999999997,0.7796924944790038,0,0,70201,2021,3,3,0,3,3,0,0,9,2,0.3399999999999999,0.31187699779160155,0.11899999999999997,0.06729166666666667,0.49816866445826813,1,1,1,0,2,proficient,1,0,0,1,11.0,0,0,1,0,0,0,0,0,2,0.3,2,0.26916666666666667
105941102121,3.39,140.0,2.813333333333333,0.4699754619867213,9,-1,-0.1799999999999997,0.5647426385960164,1,0,54243,2021,2,1,1,2,1,1,0,5,4,0.5299999999999999,0.22589705543840655,0.18549999999999997,0.07458333333333333,0.4859803887717399,1,0,1,1,2,proficient,2,0,0,2,10.0,2,0,0,0,1,0,1,0,4,0.6,1,0.29833333333333334
105941101621,3.61,148.0,3.621428571428571,0.8752958122237058,7,0,-0.1600000000000001,0.8138387436671116,1,0,54243,2021,1,0,1,1,0,0,1,1,2,0.09,0.3255354974668447,0.0315,0.1507291666666667,0.5077646641335114,1,1,0,1,2,proficient,6,8,122,4,9.833333333333334,4,2,0,1,1,2,0,1,10,1.0,1,0.6029166666666668
105641104123,3.62,89.0,3.6275,0.91196469814934,4,0,-0.1699999999999999,0.826089409444802,0,0,65201,2023,3,1,2,3,0,3,0,6,3,0.31,0.33043576377792083,0.1085,0.09874999999999999,0.5376857637779208,1,1,1,1,3,exemplary,3,0,0,2,12.333333333333334,2,0,0,1,2,0,0,0,6,0.6,2,0.39499999999999996
105731116419,3.98,154.0,3.95125,0.924543761496818,8,0,0.0699999999999998,0.8748631284490455,1,0,62201,2019,1,0,1,1,0,1,0,2,2,0.19,0.3499452513796182,0.06649999999999999,0.07958333333333334,0.4960285847129515,0,1,0,0,1,developing,3,0,0,2,10.666666666666666,3,1,0,2,0,0,0,0,6,0.6,0,0.31833333333333336
105651106421,3.97,145.0,3.7675,0.650845007198704,8,0,-0.0299999999999998,0.7915035021596112,1,0,70201,2021,4,2,2,4,1,1,2,7,5,0.6499999999999999,0.3166014008638445,0.22749999999999995,0.07333333333333333,0.6174347341971778,1,1,1,1,3,exemplary,2,3,39,1,17.5,2,0,0,2,0,0,0,1,4,0.3,0,0.29333333333333333
105721138822,3.99,136.0,3.99,0.984954570416578,6,0,0.0300000000000002,0.8942363711249733,0,0,61201,2022,1,0,1,1,0,0,1,1,2,0.09,0.3576945484499894,0.0315,0.03979166666666667,0.428986215116656,0,1,0,0,1,developing,1,0,0,1,7.0,1,0,0,1,0,0,0,0,2,0.3,0,0.15916666666666668
105731104521,3.84,154.0,3.84,0.9238198625530072,7,0,-0.0100000000000002,0.8571459587659022,0,0,62201,2021,5,0,5,5,2,1,2,10,4,0.6299999999999999,0.3428583835063609,0.22049999999999995,0.09875,0.6621083835063608,1,1,1,1,3,exemplary,3,0,0,3,14.333333333333334,3,0,0,1,1,1,0,0,6,0.8999999999999999,1,0.395
105831102822,3.89,124.0,3.883333333333333,0.9099687693107698,6,0,-0.06,0.8592406307932309,1,0,23201,2022,1,0,1,1,0,0,1,1,2,0.09,0.3436962523172924,0.0315,0.0,0.37519625231729237,0,1,0,0,1,developing,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
105721116821,3.91,155.0,3.8928571428571423,0.936908457334485,7,0,-0.0099999999999997,0.8698225372003455,1,0,61201,2021,2,0,2,2,0,0,2,2,2,0.14,0.3479290148801382,0.049,0.05541666666666666,0.4523456815468049,1,1,1,0,2,proficient,1,0,0,1,13.0,1,0,0,1,0,0,0,0,2,0.3,0,0.22166666666666665
105721113221,3.94,155.0,3.9242857142857135,0.9485771812153788,7,0,-0.02,0.8770731543646136,0,0,61201,2021,1,0,1,1,0,1,0,2,2,0.19,0.3508292617458455,0.06649999999999999,0.06541666666666666,0.4827459284125122,1,1,0,1,2,proficient,1,1,15,1,15.0,1,0,0,0,1,0,0,1,2,0.3,1,0.26166666666666666
105961101922,3.82,135.0,3.8233333333333337,0.864925139455077,6,0,0.0099999999999997,0.8369775418365231,0,0,54201,2022,1,0,1,1,0,1,0,2,2,0.19,0.33479101673460926,0.06649999999999999,0.0,0.40129101673460926,0,1,0,0,1,developing,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
105841106522,3.76,130.0,3.765,0.8993492023312013,6,0,-0.1900000000000004,0.8398047606993603,1,0,55202,2022,2,2,0,2,1,0,1,4,3,0.41,0.3359219042797441,0.1435,0.08583333333333333,0.5652552376130774,1,1,1,1,3,exemplary,2,5,85,2,16.0,2,0,0,1,0,1,0,1,4,0.6,0,0.3433333333333333
105841116522,3.53,128.0,3.2585714285714285,0.6491675151767737,7,1,-0.2200000000000002,0.8360002545530321,1,0,55202,2022,5,2,3,5,1,2,2,9,5,0.75,0.3344001018212128,0.26249999999999996,0.08583333333333333,0.6827334351545461,1,1,1,1,3,exemplary,2,5,70,2,12.0,1,0,0,1,0,0,1,1,4,0.6,0,0.3433333333333333
105941100322,3.82,132.0,3.767142857142857,0.8170550236409172,7,0,-0.0100000000000002,0.8226165070922751,0,0,54243,2022,3,3,0,3,3,0,0,9,2,0.3399999999999999,0.32904660283691006,0.11899999999999997,0.06333333333333332,0.5113799361702434,1,1,1,0,2,proficient,2,0,0,2,4.0,0,1,1,0,0,0,0,0,4,0.6,2,0.2533333333333333
105421105620,3.35,153.0,3.3528571428571428,0.8432328997429827,7,1,0.0900000000000003,0.8717198699228947,0,0,11201,2020,1,1,0,1,1,0,0,3,2,0.3399999999999999,0.3486879479691579,0.11899999999999997,0.08374999999999999,0.5514379479691579,1,1,1,0,2,proficient,3,0,0,2,14.0,1,2,0,0,0,1,0,0,6,0.6,0,0.33499999999999996
105241101923,3.98,93.0,3.985,0.9836873900804952,4,0,-0.02,0.8926062170241486,0,0,88204,2023,1,1,0,1,0,1,0,2,2,0.19,0.35704248680965944,0.06649999999999999,0.12375,0.5472924868096595,1,1,0,1,2,proficient,3,10,190,3,13.0,3,0,0,1,1,0,1,1,6,0.8999999999999999,1,0.495
105641106822,3.98,137.0,3.9783333333333335,0.9613783218142816,6,0,0.0,0.8859134965442844,1,0,65201,2022,1,0,1,1,0,0,1,1,2,0.09,0.35436539861771377,0.0315,0.04604166666666666,0.4319070652843804,0,1,0,0,1,developing,1,0,0,1,9.0,1,0,0,1,0,0,0,0,2,0.3,0,0.18416666666666665
105651104923,3.93,84.0,3.93,0.963932932237393,4,0,0.06,0.8804298796712179,0,0,70201,2023,2,2,0,2,0,2,0,4,2,0.29,0.35217195186848715,0.10149999999999999,0.11572916666666667,0.5694011185351538,1,1,1,1,3,exemplary,4,10,98,3,8.5,4,1,0,1,0,0,2,1,8,0.8999999999999999,0,0.4629166666666667
105841109622,3.52,127.0,3.3550000000000004,0.6547042682574663,6,1,-0.4100000000000001,0.8364112804772399,1,0,55202,2022,1,1,0,1,0,1,0,2,2,0.19,0.334564512190896,0.06649999999999999,0.048541666666666664,0.44960617885756265,1,1,0,1,2,proficient,1,1,9,1,9.0,1,0,0,1,0,0,0,1,2,0.3,0,0.19416666666666665
105841116322,3.77,127.0,3.421428571428572,0.580643455856459,7,1,-0.1600000000000001,0.8454430367569377,0,0,55202,2022,2,0,2,2,0,0,2,2,2,0.14,0.33817721470277506,0.049,0.0,0.38717721470277505,1,1,1,0,2,proficient,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
